entry_date,entry_idx,entry,exit_date,exit_idx,exit,ret,lev_ret,reason
2024-11-12 14:15:00,135443,85989.20440199999,2024-11-12 14:30:00,135444,85994.81759600001,6.527789202209458e-05,0.003263894601104729,SL
2024-11-14 17:30:00,135648,88616.31972,2024-11-14 18:00:00,135650,89257.19787,0.007232055585528486,0.3616027792764243,TP
2024-11-14 23:45:00,135673,87300.376584,2024-11-15 00:00:00,135674,87343.05511799999,0.0004888699873926249,0.024443499369631243,TP
2024-11-15 09:45:00,135713,89081.952828,2024-11-15 11:45:00,135721,89450.78657999999,0.00414038691666468,0.207019345833234,TP
2024-11-15 18:15:00,135747,89503.007022,2024-11-15 19:30:00,135752,89734.11323399999,0.002582105559237556,0.1291052779618778,TP
2024-11-15 23:45:00,135769,91080.46244999999,2024-11-16 02:15:00,135779,91406.2776,0.0035772232730907644,0.17886116365453822,TP
2024-11-18 05:00:00,135982,90459.38826,2024-11-18 05:15:00,135983,90526.1016,0.0007374949276490664,0.03687474638245332,TP
2024-11-19 00:15:00,136059,90554.117202,2024-11-19 00:45:00,136061,90898.165998,0.003799372205600874,0.1899686102800437,TP
2024-11-20 03:15:00,136167,91683.142962,2024-11-20 04:15:00,136171,92093.074932,0.004471181470839301,0.22355907354196505,TP
2024-11-20 09:00:00,136190,93218.64,2024-11-20 09:15:00,136191,93482.702802,0.002832725321888416,0.1416362660944208,TP
2024-11-20 16:45:00,136221,93650.7264,2024-11-20 18:45:00,136229,93373.11164199999,-0.0029643631039685202,-0.14821815519842602,SL
2024-11-21 00:00:00,136250,94305.41731199999,2024-11-21 00:15:00,136251,94410.8784,0.001118292999553817,0.05591464997769085,TP
2024-11-21 07:30:00,136280,97146.52542,2024-11-21 11:00:00,136294,97775.5512,0.006475020874709492,0.3237510437354746,TP
2024-11-22 06:15:00,136371,98758.357722,2024-11-22 07:15:00,136375,98992.514544,0.0023710076534397685,0.11855038267198842,TP
2024-11-24 01:30:00,136544,98189.40395400001,2024-11-24 04:30:00,136556,98091.817712,-0.0009938571584131653,-0.049692857920658265,SL
2024-11-24 17:30:00,136608,95879.92215,2024-11-24 18:45:00,136613,96389.294004,0.00531260187302934,0.265630093651467,TP
2024-11-25 22:45:00,136725,93292.014672,2024-11-25 22:45:00,136725,93292.014672,0.0,0.0,TP
2024-11-26 14:15:00,136787,92018.389998,2024-11-26 14:30:00,136788,92176.771668,0.0017211958392604444,0.08605979196302221,TP
2024-11-27 00:00:00,136826,91983.553032,2024-11-27 01:45:00,136833,92577.721842,0.00645951140627606,0.322975570313803,TP
2024-11-27 06:00:00,136850,92786.563602,2024-11-27 06:15:00,136851,93142.66480799999,0.0038378531564921153,0.19189265782460577,TP
2024-11-27 13:00:00,136878,93518.689998,2024-11-27 13:45:00,136881,93864.009048,0.0036925137639052742,0.1846256881952637,TP
2024-11-27 17:00:00,136894,95708.31783599999,2024-11-27 18:00:00,136898,96266.48944800001,0.005832007338760978,0.2916003669380489,TP
2024-11-29 19:15:00,137095,96919.38,2024-11-29 19:45:00,137097,97249.886088,0.003410113519091792,0.1705056759545896,TP
2024-12-01 04:30:00,137228,96419.269998,2024-12-01 08:15:00,137243,96736.553442,0.0032906642417701555,0.16453321208850777,TP
2024-12-02 13:00:00,137358,94991.024406,2024-12-02 13:15:00,137359,95418.91996799999,0.004504589403848592,0.22522947019242961,TP
2024-12-03 20:00:00,137482,95447.695722,2024-12-03 21:15:00,137487,95887.15359599999,0.004604174785737581,0.23020873928687904,TP
2024-12-06 03:30:00,137704,97246.075326,2024-12-06 06:30:00,137716,98137.263528,0.00916425880440359,0.4582129402201795,TP
2024-12-06 11:45:00,137737,97845.16512,2024-12-06 12:00:00,137738,98089.223922,0.0024943368606990353,0.12471684303495176,TP
2024-12-08 00:45:00,137885,99895.9752,2024-12-08 02:45:00,137893,100208.057604,0.003124073851575961,0.15620369257879804,TP
2024-12-10 16:45:00,138141,94615.799376,2024-12-10 16:45:00,138141,94615.799376,0.0,0.0,TP
2024-12-11 00:45:00,138173,95927.1816,2024-12-11 02:30:00,138180,96331.81251,0.004218104850481786,0.2109052425240893,TP
2024-12-12 08:15:00,138299,100620.12,2024-12-12 08:30:00,138300,100873.71070799998,0.0025202783300197697,0.12601391650098848,TP
2024-12-13 10:30:00,138404,100027.99159800001,2024-12-13 10:45:00,138405,100324.120812,0.002960463458969488,0.1480231729484744,TP
2024-12-13 16:00:00,138426,99893.134632,2024-12-13 16:30:00,138428,100228.02159599999,0.0033524522504343535,0.16762261252171767,TP
2024-12-14 18:00:00,138530,101008.207602,2024-12-14 19:30:00,138536,101195.815116,0.0018573492041283218,0.09286746020641609,TP
2024-12-17 04:45:00,138765,106465.068756,2024-12-17 07:00:00,138774,106571.299998,0.0009978037232425319,0.04989018616212659,TP
2024-12-19 02:30:00,138948,98965.33911,2024-12-19 02:45:00,138949,99356.657358,0.003954093943588125,0.19770469717940625,TP
2024-12-20 02:00:00,139042,96339.253998,2024-12-20 02:30:00,139044,97207.44760199999,0.00901183648378686,0.450591824189343,TP
2024-12-20 15:15:00,139095,96357.157578,2024-12-20 16:15:00,139099,97528.691838,0.012158248431639932,0.6079124215819967,TP
2024-12-20 22:00:00,139122,96642.61465799999,2024-12-20 22:45:00,139125,97147.285572,0.005222032907387051,0.26110164536935254,TP
2024-12-21 13:30:00,139184,96674.821098,2024-12-21 13:30:00,139184,96674.821098,0.0,0.0,TP
2024-12-23 16:00:00,139386,93269.030076,2024-12-23 16:45:00,139389,93470.69039999999,0.0021621359612689706,0.10810679806344853,TP
2024-12-23 21:45:00,139409,94156.267488,2024-12-23 22:15:00,139411,94046.535546,-0.001165423661403991,-0.05827118307019956,TP
2024-12-24 12:15:00,139467,94239.674166,2024-12-24 13:15:00,139471,94599.43128626235,0.0038174699079354967,0.19087349539677484,TP
2024-12-24 21:00:00,139502,97317.47960400001,2024-12-24 21:15:00,139503,98001.0963,0.007024603378362656,0.3512301689181328,TP
2024-12-25 09:30:00,139552,98210.43816,2024-12-25 10:00:00,139554,98209.18791000001,-1.2730316893205096e-05,-0.0006365158446602548,TP
2024-12-27 07:45:00,139737,94918.99000199999,2024-12-27 07:45:00,139737,94918.99000199999,0.0,0.0,TP
2024-12-28 01:15:00,139807,94318.86,2024-12-28 03:30:00,139816,94627.281672,0.003269989395546095,0.16349946977730476,TP
2024-12-29 14:45:00,139957,94276.28148599999,2024-12-29 14:45:00,139957,94276.28148599999,0.0,0.0,TP
2024-12-30 05:15:00,140015,93438.363936,2024-12-30 06:15:00,140019,93723.09087,0.003047216603610778,0.1523608301805389,TP
2025-01-04 19:15:00,140551,98143.05468599999,2025-01-04 20:00:00,140554,98185.893252,0.00043649106029014495,0.021824553014507246,TP
2025-01-05 19:45:00,140649,98036.633406,2025-01-05 20:15:00,140651,98148.22572,0.0011382715840299246,0.05691357920149623,TP
2025-01-08 15:00:00,140918,95307.0576,2025-01-08 15:00:00,140918,95307.0576,0.0,0.0,TP
2025-01-10 16:30:00,141116,93442.93485,2025-01-10 17:45:00,141121,94443.37489800001,0.010706427934931284,0.5353213967465642,TP
2025-01-13 18:15:00,141411,92061.428604,2025-01-13 20:45:00,141421,92983.69302,0.010017924227171224,0.5008962113585612,TP
2025-01-14 01:00:00,141438,94489.65415199999,2025-01-14 02:15:00,141443,94960.158234,0.004979424321345717,0.24897121606728584,TP
2025-01-15 03:00:00,141542,96843.424812,2025-01-15 04:00:00,141546,97334.12619015892,0.005066956059345352,0.25334780296726755,TP
2025-01-17 18:00:00,141794,104146.285092,2025-01-17 18:45:00,141797,104744.14464,0.005740574879573094,0.2870287439786547,TP
2025-01-18 10:00:00,141858,103179.92185799999,2025-01-18 11:45:00,141865,103712.18828999999,0.005158624104528095,0.2579312052264048,TP
2025-01-19 23:30:00,142008,100558.12760400001,2025-01-20 02:30:00,142020,101733.932718,0.011692790448827099,0.584639522441355,TP
2025-01-20 06:00:00,142034,102364.66884,2025-01-20 06:30:00,142036,102660.52799999999,0.0028902468337237744,0.14451234168618873,TP
2025-01-20 12:45:00,142061,106497.2952,2025-01-20 13:30:00,142064,107359.627632,0.008097223787520287,0.4048611893760144,TP
2025-01-21 01:30:00,142112,100500.096,2025-01-21 02:00:00,142114,101518.529646,0.01013365843949035,0.5066829219745175,TP
2025-01-21 07:00:00,142134,102196.47520799999,2025-01-21 10:15:00,142147,102718.699632,0.005110004263230544,0.2555002131615272,TP
2025-01-23 20:00:00,142378,103790.80401,2025-01-23 20:00:00,142378,103790.80401,0.0,0.0,TP
2025-01-25 00:30:00,142492,104644.854786,2025-01-25 03:45:00,142505,104888.003406,0.00232356020271851,0.1161780101359255,TP
2025-01-25 11:00:00,142534,104560.908,2025-01-25 13:00:00,142542,104774.030616,0.00203826286588873,0.1019131432944365,TP
2025-01-27 20:30:00,142764,100372.060398,2025-01-27 20:45:00,142765,100964.69890199999,0.00590441704245215,0.2952208521226075,TP
2025-01-28 03:45:00,142793,102626.551206,2025-01-28 04:30:00,142796,103034.38275599999,0.003973937983956577,0.19869689919782885,TP
2025-01-29 01:00:00,142878,101722.94052,2025-01-29 02:00:00,142882,101865.389004,0.0014003575129838686,0.07001787564919343,TP
