date,equity
2024-11-12 14:30:00,1.0020603391025855
2024-11-14 18:00:00,1.3627713441404183
2024-11-15 00:00:00,1.3944074485279159
2024-11-15 11:45:00,1.681057680135173
2024-11-15 19:30:00,1.8958140731927309
2024-11-16 02:15:00,2.232220507059927
2024-11-18 05:15:00,2.3117564656728256
2024-11-19 00:45:00,2.7476175179384286
2024-11-20 04:15:00,3.357839308156825
2024-11-20 09:15:00,3.8288323925885464
2024-11-20 18:45:00,3.2574174969713123
2024-11-21 00:15:00,3.435428628558042
2024-11-21 11:00:00,4.542196687207962
2024-11-22 07:15:00,5.07458086068003
2024-11-24 04:30:00,4.816625278509165
2024-11-24 18:45:00,6.088752817824514
2024-11-25 22:45:00,6.081448506394139
2024-11-26 14:30:00,6.5968932973826355
2024-11-27 01:45:00,8.717058779907532
2024-11-27 06:15:00,10.377334339895596
2024-11-27 13:45:00,12.278509351402786
2024-11-27 18:00:00,15.839902180317418
2024-11-29 19:45:00,18.518453248787008
2024-12-01 08:15:00,21.539483183634513
2024-12-02 13:15:00,26.35915009851154
2024-12-03 21:15:00,32.38835577700231
2024-12-06 06:30:00,47.17246156555501
2024-12-06 12:00:00,52.992014355776725
2024-12-08 02:45:00,61.19606125716987
2024-12-10 16:45:00,61.12264801424332
2024-12-11 02:30:00,73.92494508044554
2024-12-12 08:30:00,83.14065828341447
2024-12-13 10:45:00,95.33289980182691
2024-12-13 16:30:00,111.17931417907506
2024-12-14 19:30:00,121.3584933502514
2024-12-17 07:00:00,127.26024133515241
2024-12-19 02:45:00,152.2373394559913
2024-12-20 02:30:00,220.56931836358362
2024-12-20 16:15:00,354.23068711671294
2024-12-20 22:45:00,446.1849980998921
2024-12-21 13:30:00,445.6497367287715
2024-12-23 16:45:00,493.23508759884953
2024-12-23 22:15:00,463.93647029584616
2024-12-24 13:15:00,551.8268573443008
2024-12-24 21:15:00,744.7505919779416
2024-12-25 10:00:00,743.3836825096731
2024-12-27 07:45:00,742.4918897087872
2024-12-28 03:30:00,862.8525642861458
2024-12-29 14:45:00,861.8174518359256
2024-12-30 06:15:00,991.9332821774923
2025-01-04 20:00:00,1012.3658494314532
2025-01-05 20:15:00,1068.6996187218563
2025-01-08 15:00:00,1067.4175639112527
2025-01-10 17:45:00,1636.8630202843253
2025-01-13 20:45:00,2453.8142762850284
2025-01-14 02:15:00,3061.066811881817
2025-01-15 04:00:00,3831.9788469412943
2025-01-17 18:45:00,4925.950457496921
2025-01-18 11:45:00,6189.073218472047
2025-01-20 02:30:00,9795.684619921005
2025-01-20 06:30:00,11197.832440495353
2025-01-20 13:30:00,15712.528183850744
2025-01-21 02:00:00,23645.397840767648
2025-01-21 10:15:00,29651.188554186378
2025-01-23 20:00:00,29615.617802349232
2025-01-25 03:45:00,33016.64568622365
2025-01-25 13:00:00,36337.83115548172
2025-01-27 20:45:00,47009.05495711627
2025-01-28 04:30:00,56282.00916708104
2025-01-29 02:00:00,60150.51025935713
2025-01-29 06:00:00,67762.99937672168
2025-02-03 07:45:00,91641.74513305217
2025-02-03 19:15:00,142655.78898849897
2025-02-04 19:15:00,208732.11204345373
2025-02-06 02:00:00,254554.43096738472
2025-02-07 12:45:00,297052.8606614894
2025-02-10 07:45:00,365138.2438611331
2025-02-13 19:00:00,452244.22155388794
2025-02-19 10:00:00,486766.93884373934
2025-02-20 14:30:00,501987.3485377429
2025-02-21 20:45:00,491359.44668579404
2025-02-27 20:45:00,635287.9861650099
2025-02-28 16:30:00,640855.8245144372
2025-03-01 16:15:00,759398.1974291557
2025-03-01 21:30:00,854062.3848091163
2025-03-02 02:00:00,1045571.1834131143
2025-03-02 06:15:00,1099459.3729542862
2025-03-03 11:00:00,1486963.575266629
2025-03-04 11:00:00,1779987.6482027695
2025-03-05 08:15:00,2363188.7268503476
2025-03-05 17:15:00,3728068.5573101463
2025-03-05 23:45:00,5467998.272168804
2025-03-06 10:15:00,5748886.544653874
2025-03-07 17:45:00,9110710.516744744
2025-03-09 07:30:00,10256268.139057538
2025-03-09 18:15:00,11319838.141206784
2025-03-10 05:00:00,16307773.710341772
2025-03-10 11:45:00,19250114.660363037
2025-03-11 01:30:00,30858260.6362709
2025-03-11 08:15:00,42924211.11474837
2025-03-11 18:15:00,71181805.27805945
2025-03-12 22:15:00,101198681.00668967
2025-03-14 13:45:00,101077279.0210068
2025-03-16 13:00:00,114840875.28997326
2025-03-19 08:30:00,129906676.28365146
2025-03-19 23:15:00,142724635.4688932
2025-03-22 05:15:00,159920635.45494857
2025-03-22 16:45:00,171210208.23126954
2025-03-26 10:15:00,175749542.38010326
2025-03-29 14:00:00,220989890.56720576
2025-03-30 14:45:00,243784128.4147003
2025-04-02 15:30:00,293794456.57287836
2025-04-03 00:00:00,229803520.5485077
2025-04-04 07:00:00,227141989.5608414
2025-04-05 16:15:00,271501398.2090083
2025-04-07 01:00:00,371707733.76541656
2025-04-07 22:30:00,571633449.4271718
2025-04-08 13:00:00,626833673.6876949
2025-04-09 04:45:00,975302763.5232918
2025-04-09 18:00:00,1724298133.2894204
2025-04-10 09:30:00,1939183587.677666
2025-04-11 06:45:00,2376643522.0793037
2025-04-11 17:30:00,2408142326.206221
2025-04-13 09:30:00,2667057137.7421904
2025-04-13 16:15:00,3102965397.3923564
2025-04-15 08:15:00,3684830483.0777698
2025-04-18 21:30:00,3687638886.097944
2025-04-23 04:45:00,3873988521.2453904
2025-04-23 07:45:00,4193873701.1775417
2025-04-27 08:00:00,4795950256.127228
2025-04-28 12:45:00,5623029018.150584
2025-04-29 11:00:00,5364237876.331351
2025-05-07 07:15:00,6174000635.637292
2025-05-11 15:15:00,7166208663.544992
2025-05-12 06:30:00,7971444455.208724
2025-05-12 20:30:00,10388114410.769224
2025-05-13 09:30:00,11757539722.61396
2025-05-15 12:30:00,12689192619.575945
2025-05-16 09:15:00,14102768487.881798
2025-05-16 15:00:00,15681034553.319683
2025-05-18 07:45:00,16361075512.041748
2025-05-19 16:45:00,19293378831.64378
2025-05-21 19:30:00,25664936612.461674
2025-05-24 10:30:00,28425955291.90585
2025-05-27 07:30:00,31648136969.04744
2025-05-29 19:00:00,26226250000.00793
2025-05-31 23:00:00,25443044014.114502
2025-06-08 01:45:00,26849106649.787273
2025-06-18 01:00:00,32385280697.848972
2025-06-22 09:45:00,31722676563.31783
2025-06-22 17:00:00,40858429655.43178
2025-06-23 22:00:00,40713991940.04695
2025-06-25 00:00:00,43752789807.65154
2025-06-26 20:30:00,50174002864.48999
2025-06-29 05:30:00,48954519052.73784
2025-07-05 23:00:00,51624578645.11487
2025-07-08 17:00:00,55635049326.51551
2025-07-11 02:15:00,68362343651.18913
2025-07-13 01:45:00,74039169723.86673
2025-07-15 22:30:00,92046017761.42111
2025-07-16 08:30:00,102350514624.76584
2025-07-18 01:00:00,126309810933.82326
2025-07-18 04:00:00,129713840499.65315
2025-07-19 08:30:00,128053384863.37917
2025-07-20 07:15:00,128198229757.1645
2025-07-21 06:30:00,152202815130.3019
2025-07-29 12:15:00,156988103334.2527
2025-08-01 21:00:00,201530855739.8702
2025-08-05 17:45:00,233650750246.21204
2025-08-07 07:15:00,247661720890.02823
2025-08-08 07:15:00,247364615983.1797
2025-08-10 00:45:00,264609158374.28284
2025-08-13 08:00:00,302016019183.2219
2025-08-13 19:15:00,365281540499.08185
2025-08-19 08:45:00,415055232564.3174
2025-08-23 20:45:00,444401889352.51306
2025-08-24 06:45:00,436679118116.57043
2025-08-26 21:30:00,523518787208.7723
2025-08-29 12:00:00,588652891844.6636
2025-09-01 07:15:00,624703566097.0885
2025-09-02 01:30:00,674840986394.2662
2025-09-02 08:45:00,775108604211.1068
2025-09-02 13:45:00,774178752925.1509
2025-09-05 12:15:00,793441268551.4523
2025-09-06 02:45:00,866803994264.0687
2025-09-07 07:15:00,865764141520.3896
2025-09-07 15:30:00,924559614401.5818
2025-09-08 13:00:00,959168345891.858
2025-09-09 04:15:00,976396245092.1094
2025-09-10 05:45:00,1104987346187.7183
2025-09-11 06:30:00,1175480668433.6008
2025-09-12 00:45:00,1291089002037.8079
2025-09-13 10:00:00,1360940969095.8782
2025-09-18 18:15:00,1521668500579.8118
2025-09-20 11:00:00,1568944074801.6643
2025-09-24 08:15:00,1477769916658.7576
2025-10-01 08:15:00,1598179166130.5132
2025-10-02 17:15:00,1610719961587.623
2025-10-11 09:00:00,2114467200923.7517
2025-10-12 20:15:00,2347295951852.4507
2025-10-13 13:30:00,2336914816728.2876
2025-10-17 13:30:00,2988825859022.666
2025-10-17 16:00:00,3953957521619.1
2025-10-18 20:00:00,4463647385775.57
2025-10-19 22:00:00,4714453559056.775
2025-10-21 12:15:00,4476653914725.621
2025-10-22 14:45:00,4191695117586.3467
2025-10-23 15:00:00,4757840259945.712
2025-10-23 22:30:00,5729678626186.025
2025-10-24 21:45:00,6839971702305.565
2025-10-27 06:00:00,6695158196280.07
