date,df_idx,P_TP,P_SL,edge,E_r,Cons,long
2024-11-12 19:00:00+00:00,135462,0.0,1.0,-1.0,-0.05,0.375,0
2024-11-12 19:15:00+00:00,135463,0.0,1.0,-1.0,0.0125,0.53125,0
2024-11-12 19:30:00+00:00,135464,0.0,1.0,-1.0,0.0125,0.53125,0
2024-11-12 19:45:00+00:00,135465,1.0,0.0,1.0,0.006249999999999996,0.515625,0
2024-11-12 20:00:00+00:00,135466,0.0,1.0,-1.0,0.0125,0.53125,0
2024-11-12 20:15:00+00:00,135467,0.0,1.0,-1.0,0.01875,0.546875,0
2024-11-12 20:30:00+00:00,135468,0.0,1.0,-1.0,0.018750000000000003,0.546875,0
2024-11-12 20:45:00+00:00,135469,0.0,1.0,-1.0,0.018750000000000003,0.546875,0
2024-11-12 21:00:00+00:00,135470,0.0,1.0,-1.0,0.018750000000000003,0.546875,0
2024-11-12 21:15:00+00:00,135471,0.0,1.0,-1.0,0.01875,0.546875,0
2024-11-12 21:30:00+00:00,135472,0.0,1.0,-1.0,0.03125,0.578125,0
2024-11-12 21:45:00+00:00,135473,0.0,1.0,-1.0,-0.037500000000000006,0.40625,0
2024-11-12 22:00:00+00:00,135474,0.0,1.0,-1.0,-0.006250000000000003,0.484375,0
2024-11-12 22:15:00+00:00,135475,0.0,1.0,-1.0,0.03125,0.578125,0
2024-11-12 22:30:00+00:00,135476,0.0,1.0,-1.0,0.025,0.5625,0
2024-11-12 22:45:00+00:00,135477,0.0,1.0,-1.0,0.006250000000000002,0.515625,0
2024-11-12 23:00:00+00:00,135478,0.0,1.0,-1.0,-0.01875,0.453125,0
2024-11-12 23:15:00+00:00,135479,0.0,1.0,-1.0,-0.00625,0.484375,0
2024-11-12 23:30:00+00:00,135480,0.0,1.0,-1.0,0.0625,0.65625,0
2024-11-12 23:45:00+00:00,135481,0.0,1.0,-1.0,0.0,0.5,0
2024-11-13 00:00:00+00:00,135482,0.0,1.0,-1.0,0.049999999999999996,0.625,0
2024-11-13 00:15:00+00:00,135483,0.0,1.0,-1.0,0.0,0.5,0
2024-11-13 00:30:00+00:00,135484,0.0,1.0,-1.0,-0.006250000000000001,0.484375,0
2024-11-13 00:45:00+00:00,135485,0.0,1.0,-1.0,0.018750000000000003,0.546875,0
2024-11-13 01:00:00+00:00,135486,0.0,1.0,-1.0,-0.037500000000000006,0.40625,0
2024-11-13 01:15:00+00:00,135487,0.0,1.0,-1.0,0.018750000000000003,0.546875,0
2024-11-13 01:30:00+00:00,135488,0.0,1.0,-1.0,0.006250000000000001,0.515625,0
2024-11-13 01:45:00+00:00,135489,0.0,1.0,-1.0,-0.024999999999999998,0.4375,0
2024-11-13 02:00:00+00:00,135490,0.0,1.0,-1.0,-0.0125,0.46875,0
2024-11-13 02:15:00+00:00,135491,0.0,1.0,-1.0,-0.025000000000000005,0.4375,0
2024-11-13 02:30:00+00:00,135492,0.0,1.0,-1.0,0.018750000000000003,0.546875,0
2024-11-13 02:45:00+00:00,135493,0.0,1.0,-1.0,-0.025,0.4375,0
2024-11-13 03:00:00+00:00,135494,0.0,1.0,-1.0,0.03125,0.578125,0
2024-11-13 03:15:00+00:00,135495,0.0,1.0,-1.0,0.018750000000000003,0.546875,0
2024-11-13 03:30:00+00:00,135496,0.0,1.0,-1.0,0.018750000000000003,0.546875,0
2024-11-13 03:45:00+00:00,135497,0.0,1.0,-1.0,0.012499999999999997,0.53125,0
2024-11-13 04:00:00+00:00,135498,0.0,1.0,-1.0,0.006249999999999999,0.515625,0
2024-11-13 04:15:00+00:00,135499,0.0,1.0,-1.0,-3.469446951953614e-18,0.5,0
2024-11-13 04:30:00+00:00,135500,1.0,0.0,1.0,0.0125,0.53125,0
2024-11-13 04:45:00+00:00,135501,0.0,1.0,-1.0,0.043750000000000004,0.609375,0
2024-11-13 05:00:00+00:00,135502,0.0,1.0,-1.0,0.0125,0.53125,0
2024-11-13 05:15:00+00:00,135503,0.0,1.0,-1.0,0.04375,0.609375,0
2024-11-13 05:30:00+00:00,135504,0.0,1.0,-1.0,0.03125,0.578125,0
2024-11-13 05:45:00+00:00,135505,1.0,0.0,1.0,0.018750000000000003,0.546875,0
2024-11-13 06:00:00+00:00,135506,0.0,1.0,-1.0,0.018750000000000003,0.546875,0
2024-11-13 06:15:00+00:00,135507,1.0,0.0,1.0,-0.006249999999999997,0.484375,0
2024-11-13 06:30:00+00:00,135508,1.0,0.0,1.0,0.0125,0.53125,0
2024-11-13 06:45:00+00:00,135509,1.0,0.0,1.0,-0.0125,0.46875,0
2024-11-13 07:00:00+00:00,135510,1.0,0.0,1.0,0.012499999999999999,0.53125,0
2024-11-13 07:15:00+00:00,135511,1.0,0.0,1.0,0.006250000000000002,0.515625,0
2024-11-13 07:30:00+00:00,135512,0.0,0.0,0.0,0.006250000000000001,0.515625,0
2024-11-13 07:45:00+00:00,135513,1.0,0.0,1.0,0.025,0.5625,0
2024-11-13 08:00:00+00:00,135514,1.0,0.0,1.0,0.024999999999999994,0.5625,0
2024-11-13 08:15:00+00:00,135515,0.0,1.0,-1.0,0.006250000000000002,0.515625,0
2024-11-13 08:30:00+00:00,135516,1.0,0.0,1.0,-0.024999999999999998,0.4375,0
2024-11-13 08:45:00+00:00,135517,1.0,0.0,1.0,-0.012499999999999999,0.46875,0
2024-11-13 09:00:00+00:00,135518,0.0,0.0,0.0,-0.006249999999999999,0.484375,0
2024-11-13 09:15:00+00:00,135519,1.0,0.0,1.0,-0.025,0.4375,0
2024-11-13 09:30:00+00:00,135520,1.0,0.0,1.0,0.0125,0.53125,0
2024-11-13 09:45:00+00:00,135521,1.0,0.0,1.0,-5.204170427930421e-18,0.5,0
2024-11-13 10:00:00+00:00,135522,1.0,0.0,1.0,3.469446951953614e-18,0.5,0
2024-11-13 10:15:00+00:00,135523,1.0,0.0,1.0,0.00625,0.515625,0
2024-11-13 10:30:00+00:00,135524,1.0,0.0,1.0,-0.006249999999999999,0.484375,0
2024-11-13 10:45:00+00:00,135525,1.0,0.0,1.0,0.024999999999999994,0.5625,0
2024-11-13 11:00:00+00:00,135526,0.0,1.0,-1.0,0.006250000000000001,0.515625,0
2024-11-13 11:15:00+00:00,135527,1.0,0.0,1.0,-0.018750000000000003,0.453125,0
2024-11-13 11:30:00+00:00,135528,1.0,0.0,1.0,-0.00625,0.484375,0
2024-11-13 11:45:00+00:00,135529,1.0,0.0,1.0,-0.006249999999999995,0.484375,0
2024-11-13 12:00:00+00:00,135530,1.0,0.0,1.0,0.0,0.5,0
2024-11-13 12:15:00+00:00,135531,1.0,0.0,1.0,0.03125,0.578125,0
2024-11-13 12:30:00+00:00,135532,0.0,1.0,-1.0,0.024999999999999998,0.5625,0
2024-11-13 12:45:00+00:00,135533,1.0,0.0,1.0,-0.018750000000000003,0.453125,0
2024-11-13 13:00:00+00:00,135534,1.0,0.0,1.0,-0.01875,0.453125,0
2024-11-13 13:15:00+00:00,135535,1.0,0.0,1.0,0.018750000000000003,0.546875,0
